COMMAND,ZIPREF,ZIPCODE
"-z",27011,27011
"-z",27011,27011
"-z",27030,27030
"-z",27043,27043
"-z",27048,27048
"-z",27106,27106
"-z",27127,27127
"-z",27215,27215
"-z",27215,27215
"-z",27215,27215
"-z",27258,27258
"-z",27284,27284
"-z",27288,27288
"-z",27317,27317
"-z",27320,27320
"-z",27332,27332
"-z",27360,27360
"-z",27405,27405
"-z",27407,27407
"-z",27407,27407
"-z",27455,27455
"-z",27455,27455
"-z",27502,27502
"-z",27511,27511
"-z",27511,27511
"-z",27511,27511
"-z",27513,27513
"-z",27517,27517
"-z",27519,27519
"-z",27520,27520
"-z",27525,27525
"-z",27526,27526
"-z",27529,27529
"-z",27539,27539
"-z",27540,27540
"-z",27546,27546
"-z",27549,27549
"-z",27560,27560
"-z",27560,27560
"-z",27565,27565
"-z",27574,27574
"-z",27603,27603
"-z",27607,27607
"-z",27610,27610
"-z",27610,27610
"-z",27615,27615
"-z",27803,27803
"-z",27858,27858
"-z",27858,27858
"-z",27870,27870
"-z",27893,27893
"-z",27893,27893
"-z",27909,27909
"-z",28027,28027
"-z",28078,28078
"-z",28078,28078
"-z",28079,28079
"-z",28112,28112
"-z",28144,28144
"-z",28147,28147
"-z",28150,28150
"-z",28173,28173
"-z",28211,28211
"-z",28211,28211
"-z",28213,28213
"-z",28269,28269
"-z",28273,28273
"-z",28277,28277
"-z",28306,28306
"-z",28314,28314
"-z",28348,28348
"-z",28412,28412
"-z",28412,28412
"-z",28443,28443
"-z",28465,28465
"-z",28468,28468
"-z",28518,28518
"-z",28546,28546
"-z",28546,28546
"-z",28546,28546
"-z",28562,28562
"-z",28584,28584
"-z",28602,28602
"-z",28607,28607
"-z",28638,28638
"-z",28643,28643
"-z",28677,28677
"-z",28711,28711
"-z",28714,28714
"-z",28734,28734
"-z",28742,28742
"-z",28751,28751
"-z",28779,28779
"-z",29073,29073
"-z",29102,29102
"-z",29180,29180
"-z",29206,29206
"-z",29212,29212
"-z",29407,29407
"-z",29407,29407
"-z",29436,29436
"-z",29483,29483
"-z",29483,29483
"-z",29486,29486
"-z",29488,29488
